,STOCK_CODE,Date,file_name
1889,000001.SZ,20200414,sz000001_20200414
1890,000799.SZ,20200316,sz000799_20200316
1891,000799.SZ,20200317,sz000799_20200317
1892,000799.SZ,20200318,sz000799_20200318
1893,000799.SZ,20200319,sz000799_20200319
1894,000799.SZ,20200320,sz000799_20200320
1895,000799.SZ,20200323,sz000799_20200323
1896,000799.SZ,20200324,sz000799_20200324
1897,000799.SZ,20200325,sz000799_20200325
1898,000799.SZ,20200326,sz000799_20200326
1899,000799.SZ,20200327,sz000799_20200327
1900,000799.SZ,20200330,sz000799_20200330
1901,000799.SZ,20200331,sz000799_20200331
1902,000799.SZ,20200401,sz000799_20200401
1903,000799.SZ,20200402,sz000799_20200402
1904,000799.SZ,20200403,sz000799_20200403
1905,000799.SZ,20200407,sz000799_20200407
1906,000799.SZ,20200408,sz000799_20200408
1907,000799.SZ,20200409,sz000799_20200409
1908,000799.SZ,20200410,sz000799_20200410
1909,000799.SZ,20200413,sz000799_20200413
1910,000799.SZ,20200414,sz000799_20200414
1911,002945.SZ,20200316,sz002945_20200316
1912,002945.SZ,20200317,sz002945_20200317
1913,002945.SZ,20200318,sz002945_20200318
1914,002945.SZ,20200319,sz002945_20200319
1915,002945.SZ,20200320,sz002945_20200320
1916,002945.SZ,20200323,sz002945_20200323
1917,002945.SZ,20200324,sz002945_20200324
1918,002945.SZ,20200325,sz002945_20200325
1919,002945.SZ,20200326,sz002945_20200326
1920,002945.SZ,20200327,sz002945_20200327
1921,002945.SZ,20200330,sz002945_20200330
1922,002945.SZ,20200331,sz002945_20200331
1923,002945.SZ,20200401,sz002945_20200401
1924,002945.SZ,20200402,sz002945_20200402
1925,002945.SZ,20200403,sz002945_20200403
1926,002945.SZ,20200407,sz002945_20200407
1927,002945.SZ,20200408,sz002945_20200408
1928,002945.SZ,20200409,sz002945_20200409
1929,002945.SZ,20200410,sz002945_20200410
1930,002945.SZ,20200413,sz002945_20200413
1931,002945.SZ,20200414,sz002945_20200414
1932,601872.SH,20200316,sh601872_20200316
1933,601872.SH,20200317,sh601872_20200317
1934,601872.SH,20200318,sh601872_20200318
1935,601872.SH,20200319,sh601872_20200319
1936,601872.SH,20200320,sh601872_20200320
1937,601872.SH,20200323,sh601872_20200323
